-0.004164136,0.001979943,0.858651225,-0.000944094,0.063213167,0.001297438,0.997998758,-0.158899803,-0.000456146,0.001293153,0.010115402,0.008182665,-0.003109377,-0.159459770,0.000486844,0.005041183,0.012219638,0.007695565,-0.004657282,0.000001000,0.608151009,0.303740506,-0.404626400,0.080342519,-0.026882162,0.404824436,-0.519090133,0.428102656,0.041015248,0.037661812
-0.004239610,0.002118151,0.858536612,-0.000958018,0.063426683,0.001134573,0.997985396,-0.164456404,-0.000633427,0.001261465,0.020618384,0.008373070,-0.003117640,-0.164882549,0.000398740,0.005228446,0.022202924,0.007664615,-0.004731605,0.000001000,0.591723432,0.314454227,-0.452559332,0.086551957,-0.027117403,0.388697679,-0.568837789,0.536991193,0.041008001,0.043358778
-0.004314802,0.002256320,0.858422290,-0.000972002,0.063637401,0.000971522,0.997972140,-0.170002663,-0.000810448,0.001229759,0.031114294,0.008562976,-0.003125923,-0.170295140,0.000310863,0.005415565,0.032179112,0.007633099,-0.004805972,0.000001000,0.575304466,0.325157415,-0.500448136,0.092757748,-0.027352409,0.372581785,-0.618541793,0.645806507,0.041000762,0.049059878
-0.004164151,0.002363899,0.858540185,-0.001034380,0.061615969,0.000659820,0.998099177,-0.167285763,-0.000779292,0.001183768,0.035960224,0.008354099,-0.003149629,-0.167568166,0.000403863,0.005488742,0.036483204,0.007149620,-0.004915073,0.000001000,0.565765386,0.327446091,-0.513077549,0.096049654,-0.027400702,0.365144956,-0.633367002,0.696116263,0.041000400,0.058063628
-0.004013073,0.002471235,0.858658088,-0.001096181,0.059591701,0.000348881,0.998222173,-0.164557043,-0.000749239,0.001138103,0.040794873,0.008144587,-0.003173366,-0.164829227,0.000495649,0.005562066,0.040776957,0.006665652,-0.005024188,0.000001000,0.556243004,0.329743004,-0.525679101,0.099312616,-0.027448689,0.357720808,-0.648161426,0.746344593,0.041000038,0.067056780
-0.003695544,0.002483976,0.858779330,-0.000935148,0.056562796,0.000336607,0.998398549,-0.157222475,-0.001148555,0.001218964,0.041234512,0.007687515,-0.003209532,-0.157428156,0.000114753,0.005692221,0.041042130,0.005990890,-0.005139072,0.000001000,0.553226099,0.335249053,-0.527425473,0.091298279,-0.027378000,0.355237376,-0.650960880,0.764847840,0.041000020,0.071920367
-0.003378044,0.002496705,0.858900548,-0.000774146,0.053533655,0.000324320,0.998565693,-0.149888293,-0.001547761,0.001299801,0.041673500,0.007230376,-0.003245706,-0.150027504,-0.000266027,0.005822366,0.041306713,0.005316060,-0.005253962,0.000001000,0.550210043,0.340755140,-0.529171798,0.083283509,-0.027307322,0.352753698,-0.653761013,0.783347875,0.041000002,0.076781675
-0.003155368,0.002468384,0.858940054,-0.000746306,0.051456288,0.000277678,0.998674930,-0.143838281,-0.001576422,0.001302845,0.039943832,0.006546863,-0.003307487,-0.144020141,-0.000257539,0.005919215,0.039606365,0.004416493,-0.005388757,0.000001000,0.550023715,0.346387894,-0.530765616,0.073826463,-0.027271994,0.349448357,-0.658822687,0.791145592,0.041000001,0.074050300
-0.002932920,0.002440248,0.858979560,-0.000718046,0.049380947,0.000231129,0.998779732,-0.137793865,-0.001606346,0.001306226,0.038214161,0.005863270,-0.003369303,-0.138018627,-0.000250306,0.006016546,0.037906650,0.003516994,-0.005523557,0.000001000,0.549829886,0.352017830,-0.532364088,0.064387005,-0.027236807,0.346134049,-0.663881342,0.798947123,0.041000000,0.071317388
-0.002892418,0.002560174,0.859019364,-0.000357040,0.049102295,0.000259316,0.998793657,-0.136221927,-0.002644698,0.001578244,0.036481630,0.005115311,-0.003458205,-0.136689511,-0.001245405,0.006500049,0.036712125,0.002671654,-0.005661674,0.000001000,0.543643554,0.355396427,-0.537681536,0.069000269,-0.027314242,0.335655257,-0.666527790,0.809796115,0.041000000,0.067356981
